Nitrogen,Phosphorus,Potassium,pH_Value,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Quality
126.71,44.94,190.56,4.69,33.42,1.15,4.36,39.54,76.07,840.73,60.54
107.15,49.32,30.94,4.76,52.62,1.26,5.35,34.55,36.74,2443.4,54.53
18.06,29.86,114.67,7.71,52.05,1.2,4.64,25.16,34.62,595.27,58.13
167.06,15.9,192.36,8.21,36.62,1.44,4.81,37.69,48.21,736.84,50.66
64.16,4.73,172.1,8.29,25.9,0.35,3.21,33.7,92.03,2229.32,54.96
37.3,19.6,170.08,5.94,5.56,2.25,5.25,44.78,39.77,2402.72,54.74
8.16,58.19,164.37,9.18,22.13,2.03,0.44,25.37,36.81,1642.39,60.71
118.18,78.61,61.8,7.04,59.44,1.67,1.29,16.57,66.08,432.5,68.85
135.51,16.92,178.12,6.35,44.96,0.38,3.61,12.32,38.52,2504.21,60.5
3.32,10.86,188.27,8.77,44.47,0.42,7.55,31.84,66.35,1746.32,40.32
102.42,74.93,99.16,5.08,46.86,1.95,5.19,42.71,72.12,2796.57,63.08
45.3,30.52,70.91,9.09,39.11,0.22,2.91,37.51,48.32,619.54,54.97
129.03,95.15,82.85,7.0,37.22,2.56,3.72,35.63,56.35,438.48,80.68
34.87,71.43,66.84,9.35,29.95,3.48,6.78,28.12,57.39,677.17,67.87
138.19,32.68,42.48,4.81,29.42,2.13,4.39,16.31,29.64,570.51,65.12
77.35,28.95,123.69,9.58,52.9,2.56,0.48,19.6,29.0,2416.63,68.36
187.35,52.37,112.52,7.97,26.64,1.59,3.39,19.87,31.88,285.69,59.26
27.5,7.91,92.52,7.52,51.22,2.37,3.17,33.28,80.56,2435.21,57.58
68.21,11.77,19.17,6.24,51.08,2.32,7.21,39.97,81.43,1937.35,52.0
22.69,17.59,159.38,9.72,47.4,2.9,2.51,14.79,54.35,2750.81,48.23
184.94,77.47,34.99,6.39,7.07,2.52,0.61,11.17,22.16,1399.03,63.74
175.47,51.39,22.91,6.74,13.14,2.65,2.9,27.9,21.1,809.79,64.71
51.59,1.06,124.61,8.58,22.31,1.99,0.45,41.42,96.73,2706.51,55.49
132.0,67.35,79.73,5.35,51.61,1.75,6.68,43.64,38.31,21.61,53.02
163.44,42.37,11.96,5.39,53.03,1.66,4.76,26.74,33.44,2754.15,56.53
111.04,51.09,71.11,8.54,7.29,1.43,3.81,18.74,26.78,1874.26,60.83
105.93,21.41,154.36,4.34,22.86,1.0,2.94,36.84,75.95,484.87,63.65
48.37,55.18,123.05,8.85,51.77,0.21,3.4,15.93,78.19,879.26,54.24
18.62,97.92,72.56,7.56,18.73,2.38,6.32,38.84,96.67,1770.26,59.28
179.44,7.34,38.36,7.0,58.68,3.16,1.52,40.42,87.42,291.24,58.64
180.08,28.39,126.36,4.99,31.91,3.26,0.66,20.89,21.99,172.23,74.51
126.62,24.3,177.51,8.61,56.55,2.07,4.54,16.42,85.08,1556.62,57.16
67.81,24.85,129.25,8.73,28.59,0.42,6.89,13.9,97.39,100.53,53.98
69.84,37.87,162.58,6.64,22.81,3.09,4.54,31.35,62.06,2312.98,79.03
145.19,81.81,104.31,6.03,24.93,2.64,6.39,44.37,33.09,2090.59,67.52
179.42,91.29,143.59,5.1,53.64,0.95,7.15,25.65,38.58,2782.56,46.08
177.42,20.22,179.25,8.4,23.19,2.83,0.71,19.23,87.01,2477.04,63.39
155.98,54.29,154.64,7.66,41.81,1.7,4.75,38.97,97.32,190.63,54.85
128.41,63.69,181.97,4.84,30.84,3.12,6.68,34.97,96.48,605.88,67.51
16.83,52.18,86.23,8.66,56.79,0.94,5.18,12.59,59.67,601.62,54.69
32.33,43.41,180.84,9.23,13.76,2.82,4.77,19.12,69.34,1326.65,59.49
179.71,19.2,124.31,3.89,28.58,2.52,6.33,23.06,73.52,1639.84,56.0
121.29,48.82,174.01,8.52,11.85,0.15,5.69,17.58,53.94,1388.39,56.89
1.84,40.12,7.88,9.04,36.8,2.02,4.06,40.9,95.1,681.32,45.74
20.29,79.56,131.57,9.94,27.16,2.53,0.45,16.55,85.52,2745.28,53.15
132.7,76.36,169.6,5.04,8.35,0.63,4.95,37.76,30.76,110.86,53.41
1.01,13.4,34.84,5.91,51.74,1.91,1.78,35.95,30.59,90.51,55.51
32.16,8.85,132.36,9.78,25.65,1.13,2.11,10.42,64.86,2277.13,48.26
109.75,90.82,164.99,4.11,32.15,2.47,5.47,19.77,62.87,854.64,66.48
138.38,53.55,57.59,6.9,27.41,1.94,3.68,27.87,21.51,2231.08,72.41
130.39,85.78,81.05,6.79,31.88,2.21,5.76,17.67,56.44,897.51,75.56
44.85,5.82,113.9,7.44,5.9,0.35,3.2,38.63,95.85,1697.83,61.16
142.44,52.65,103.83,5.65,49.85,0.57,6.97,14.71,55.63,2596.44,56.26
47.45,53.94,7.84,9.52,23.28,1.98,3.47,15.83,73.76,562.66,56.69
65.08,86.07,19.73,5.26,44.85,0.72,4.0,30.6,76.32,2151.75,50.72
149.3,9.76,20.09,7.72,8.57,1.8,1.1,10.82,22.43,2434.25,57.73
129.93,24.04,52.45,6.72,33.81,2.45,4.08,44.76,42.3,2921.45,67.04
169.84,40.65,49.17,5.23,54.98,2.85,1.99,28.56,95.05,572.49,65.37
131.52,86.58,148.44,4.73,26.9,0.59,6.13,32.81,60.82,1503.36,55.68
113.66,93.89,114.55,9.72,15.85,2.62,5.74,18.85,98.31,881.85,58.53
18.73,99.27,152.8,7.15,10.45,1.33,0.23,43.41,91.6,1306.97,53.71
73.54,95.92,13.98,7.43,52.25,2.41,4.0,21.7,42.44,199.55,59.51
53.04,0.59,97.04,8.59,18.13,0.59,0.46,14.47,41.35,2681.52,57.94
48.8,4.77,64.76,4.03,58.63,1.85,4.6,25.92,48.39,962.4,56.91
194.6,14.76,169.99,8.14,18.63,2.95,7.22,14.46,60.72,2966.79,51.74
78.62,34.89,141.56,4.57,31.45,0.46,6.95,43.68,91.76,1321.31,60.44
178.41,82.99,173.85,8.31,30.19,2.91,2.03,27.67,60.11,1062.26,69.44
126.23,89.27,9.29,4.42,8.41,1.64,1.21,31.01,82.68,1512.07,55.9
158.96,18.68,144.16,8.91,34.25,2.9,6.35,26.95,66.31,419.68,64.82
100.53,61.97,108.0,7.93,42.0,3.36,4.41,18.14,38.32,2539.03,80.3
115.38,91.74,165.0,6.01,45.82,0.64,3.45,15.96,53.73,2423.78,59.47
98.5,46.37,101.43,5.83,33.74,2.39,6.5,43.79,53.01,2470.02,74.55
39.05,10.35,108.04,4.47,49.69,0.9,2.09,21.11,99.39,1244.43,52.6
144.49,45.78,10.35,9.38,46.37,0.56,1.87,12.04,63.99,1076.21,52.05
56.15,37.58,133.7,4.27,15.67,2.24,4.93,27.66,26.06,2876.45,54.92
4.86,57.77,54.63,6.57,27.09,0.47,2.25,18.54,65.97,1703.4,62.91
129.09,43.87,3.94,5.04,12.84,1.68,3.47,34.72,65.32,2666.55,60.26
35.42,1.73,13.29,9.98,12.34,2.26,3.69,23.23,58.44,778.83,53.04
188.09,99.4,191.46,7.31,44.17,1.8,1.72,42.67,45.65,1633.81,51.21
190.79,54.35,69.22,4.47,34.18,2.47,0.59,25.25,39.83,2023.21,70.18
182.97,47.36,173.62,7.84,38.05,2.82,6.16,33.67,36.45,294.67,64.63
74.03,95.46,191.94,9.95,45.27,3.07,6.29,39.72,27.3,2651.41,44.53
3.09,15.59,188.65,7.43,20.25,2.0,4.83,40.22,50.27,1325.02,55.4
185.66,18.92,176.35,6.47,27.07,1.04,1.27,29.38,77.57,2390.29,56.17
85.64,80.8,178.97,5.41,38.37,1.83,3.86,38.12,66.37,2396.65,60.24
193.33,26.08,57.8,4.1,10.31,1.42,1.51,18.67,21.21,2044.14,48.88
192.72,79.92,30.29,4.98,50.82,0.87,7.06,31.08,86.74,1139.68,43.0
170.6,27.15,127.85,7.1,23.89,1.9,5.61,11.16,51.99,1684.48,61.61
58.89,3.32,97.62,8.4,41.23,0.18,0.35,21.68,76.21,2418.54,59.49
77.02,51.7,19.75,9.21,59.76,2.16,0.11,22.1,81.1,307.81,62.71
170.23,19.67,135.51,8.66,31.14,2.89,7.87,40.58,58.12,2452.67,54.13
63.38,75.78,112.57,4.32,16.83,3.5,0.41,26.58,83.39,860.66,71.54
33.9,64.12,172.61,8.53,16.9,3.23,6.94,35.92,68.78,1134.09,63.1
111.36,92.36,121.84,7.28,8.32,0.41,7.65,26.49,83.71,850.25,60.04
187.23,78.3,114.79,6.55,47.19,0.65,2.53,20.99,74.65,2946.72,58.24
139.21,18.08,88.15,7.22,21.14,0.57,4.37,42.88,33.1,2139.17,50.14
114.01,80.02,92.56,3.55,14.5,2.0,5.21,31.86,39.27,2994.13,57.05
19.44,64.17,190.88,3.94,44.25,0.26,4.21,32.44,53.98,288.44,42.33
123.0,66.9,27.69,6.92,22.0,3.29,1.79,27.19,50.32,2905.29,76.05
198.01,83.23,89.24,4.63,38.03,0.31,4.69,16.5,44.86,679.5,53.74
28.02,57.38,131.17,7.05,27.98,1.43,2.14,39.22,57.04,55.93,69.49
103.67,46.6,86.6,5.8,23.38,3.14,1.4,35.85,61.7,648.51,89.34
175.47,63.66,56.64,9.4,31.92,3.32,4.09,23.36,92.8,552.19,68.31
148.15,29.8,57.47,9.67,22.26,1.68,3.04,42.79,44.0,2242.08,53.68
139.4,18.26,46.73,9.87,52.88,1.76,0.32,22.04,24.4,2015.13,54.51
140.5,61.66,68.78,9.34,9.02,2.26,7.6,11.36,45.06,1067.2,56.66
71.9,23.38,174.33,9.91,6.66,1.49,0.41,19.13,77.3,555.67,53.44
58.72,7.99,101.04,8.09,27.35,1.2,7.23,22.9,50.54,1078.47,60.61
161.87,0.06,48.05,9.74,14.51,2.61,1.6,38.71,35.53,2897.05,53.12
162.02,60.83,76.91,7.67,45.9,2.12,1.22,37.57,50.99,905.03,71.13
173.41,36.21,21.17,8.76,24.44,1.74,0.65,25.14,77.6,2062.07,55.51
182.65,75.23,180.81,4.36,19.38,0.44,3.46,34.53,27.49,1006.07,46.59
102.27,37.52,81.64,7.94,24.77,0.33,4.74,17.99,75.65,2417.46,68.3
100.3,48.6,196.08,9.55,17.07,1.84,7.24,41.17,30.85,1727.7,57.21
159.66,40.71,69.51,7.01,21.48,2.21,6.29,12.15,98.39,1998.15,65.16
129.99,65.06,167.27,4.71,36.24,2.34,1.36,23.96,55.54,113.72,75.73
140.39,35.61,51.28,6.92,52.52,3.14,1.43,38.33,51.33,2207.21,71.71
159.16,96.38,15.23,8.1,25.4,2.88,0.16,27.88,66.82,806.87,66.95
178.0,93.61,6.35,8.5,22.64,0.58,5.53,38.48,31.55,1931.41,35.12
67.6,84.8,121.23,6.9,48.0,2.8,0.24,15.82,46.61,1257.4,77.22
75.12,92.03,62.31,4.91,6.23,2.4,1.19,18.82,65.75,961.68,73.29
18.8,44.91,88.7,9.52,21.61,2.92,5.11,23.96,25.52,1051.94,64.4
115.66,53.64,163.73,8.53,29.87,2.97,1.29,40.07,40.53,349.62,75.22
7.19,74.21,49.62,5.26,38.04,1.27,1.31,43.5,59.79,399.81,56.52
93.12,69.61,61.73,8.78,13.58,1.0,1.95,11.99,73.88,353.37,62.83
108.53,89.07,169.07,5.76,28.81,1.98,3.14,42.91,44.94,2022.35,65.23
57.31,71.63,98.55,5.53,36.15,1.12,0.16,34.44,70.01,841.56,77.65
118.17,99.79,165.53,9.11,33.06,1.29,5.99,26.93,40.11,2879.62,55.55
6.1,34.85,74.9,9.18,36.6,0.34,6.21,18.53,54.76,2461.65,48.86
7.47,83.3,79.67,6.09,41.43,3.47,3.0,19.93,53.79,1035.68,75.75
164.52,69.76,33.43,3.56,25.87,1.15,6.41,33.25,22.84,1547.58,49.15
72.04,69.14,183.27,4.71,8.5,2.75,2.35,24.72,95.21,2354.87,62.54
25.41,32.58,179.36,9.41,8.06,3.48,7.89,11.1,80.28,438.66,50.74
104.45,78.56,196.84,9.34,52.23,3.4,3.24,43.81,66.97,547.81,64.17
154.0,90.04,80.49,6.45,42.26,2.26,5.38,33.3,45.88,1136.08,67.45
43.16,21.85,163.72,5.48,47.03,1.93,2.65,37.62,86.03,1567.21,59.75
124.58,62.55,82.99,5.47,56.08,1.15,3.66,32.51,76.36,381.15,64.65
17.07,39.21,90.86,9.33,46.28,3.03,5.2,34.99,31.12,1399.79,54.74
10.34,98.95,166.0,5.61,43.08,1.25,2.85,11.37,65.13,588.51,48.87
106.27,47.88,35.47,6.83,41.07,0.46,5.29,23.62,41.1,2637.19,63.73
108.13,22.83,44.06,8.25,19.22,1.1,1.25,42.74,78.1,2805.58,63.66
127.49,38.19,62.95,4.86,57.65,1.17,3.92,43.49,53.79,2206.82,58.18
145.22,65.38,157.64,5.15,34.81,2.54,2.26,42.18,40.3,411.07,64.53
195.17,7.61,74.53,5.83,17.21,0.68,7.37,44.96,93.46,2062.92,45.53
103.26,60.36,71.63,7.75,16.54,1.18,6.62,12.47,92.86,1618.3,64.24
64.59,93.12,199.76,8.81,49.84,0.36,3.95,12.23,85.67,2548.45,39.91
159.04,85.04,76.76,7.05,18.76,2.98,3.68,42.65,27.67,1144.37,66.59
54.17,6.77,49.55,4.36,7.28,2.56,6.69,11.06,80.4,2941.81,56.84
