Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Soil_Type,Variety
114.61,57.81,119.88,24.25,73.77,6.89,1427.62,Wheat,Loamy,Lok-1
91.53,47.55,91.33,23.19,67.14,7.04,1093.15,Cotton,Loamy,Bt-2
112.43,39.83,110.0,21.48,79.69,4.86,2172.24,Vegetables,Peaty,Hybrid-A
117.19,49.36,71.42,20.84,88.94,6.36,1794.51,Tea,Peaty,UPASI-9
113.8,46.26,59.72,18.37,80.82,5.31,1733.31,Vegetables,Peaty,Local-1
100.77,40.78,100.94,25.33,65.59,7.42,1171.98,Tomato,Loamy,Pusa Ruby
83.36,52.99,105.68,32.05,67.51,6.32,1591.53,Rice,Clay,IR64
82.08,54.08,124.5,31.82,78.25,6.93,1055.1,Rice,Clay,IR64
15.0,58.66,84.14,22.9,45.2,8.38,599.37,Cotton,Chalky,Bt-2
117.45,31.6,53.76,26.69,86.79,6.25,1739.06,Vegetables,Peaty,Hybrid-B
66.11,17.21,58.3,31.66,49.06,7.0,1007.81,Potato,Sandy,Kufri Bahar
79.54,38.81,103.93,25.82,64.15,7.18,1232.07,Cotton,Loamy,Bt-1
45.51,57.3,84.26,25.84,36.84,7.76,743.82,Wheat,Chalky,HD-2967
63.88,46.61,104.0,23.74,69.41,6.86,1173.13,Rice,Silty,Basmati-370
38.2,59.49,50.55,23.32,57.63,8.8,327.62,Millet,Chalky,RHB-173
41.68,60.41,83.0,28.73,40.9,8.02,718.12,Soybean,Chalky,MAUS-71
51.73,31.72,43.44,26.75,55.54,5.61,942.71,Potato,Sandy,Kufri Pukhraj
88.85,58.03,94.25,23.76,66.19,7.02,1619.33,Vegetables,Clay,Local-1
47.67,72.34,106.15,24.11,47.34,7.97,959.04,Millet,Chalky,ICTP-8203
61.32,59.23,111.1,26.02,47.74,8.5,851.31,Barley,Chalky,BH-902
37.78,54.63,57.44,26.69,41.97,7.87,743.69,Cotton,Chalky,Bt-2
83.79,50.61,80.49,26.4,78.87,6.44,1513.08,Wheat,Silty,Lok-1
100.96,70.07,90.33,28.26,74.95,6.51,1682.58,Rice,Clay,IR64
87.08,26.0,91.49,24.24,71.81,7.17,833.15,Tomato,Loamy,Roma
98.03,49.58,85.46,30.3,64.45,7.8,806.5,Sugarcane,Loamy,Co-0118
56.34,60.86,71.3,26.67,50.22,7.72,970.55,Sugarcane,Chalky,Co-0118
90.77,53.06,88.81,24.26,73.16,6.39,982.77,Wheat,Loamy,Lok-1
84.4,41.13,92.86,20.28,87.38,5.5,1294.47,Rice,Peaty,IR64
84.43,28.69,140.62,21.88,70.11,6.69,1314.29,Cotton,Clay,Suraj
55.78,21.44,59.05,32.24,40.56,6.54,767.55,Millet,Sandy,ICTP-8203
101.34,53.18,75.32,21.24,79.67,4.06,2200.2,Rice,Peaty,Basmati-370
39.75,23.93,45.47,29.12,50.04,6.47,927.83,Groundnut,Sandy,GG-20
64.24,31.3,89.36,20.39,71.47,6.22,2100.0,Maize,Silty,Pioneer-3396
41.3,63.83,102.51,31.61,64.22,7.42,1068.08,Wheat,Chalky,HD-2967
89.29,63.78,91.44,19.25,62.74,6.98,1407.92,Soybean,Loamy,JS-335
90.24,75.9,100.38,24.85,70.32,6.84,1380.89,Millet,Clay,HHB-67
50.03,37.19,54.56,29.24,31.28,5.61,374.93,Potato,Sandy,Kufri Jyoti
112.99,61.36,60.11,19.38,74.35,4.58,1895.61,Vegetables,Peaty,Local-1
24.47,59.21,121.82,27.32,52.4,8.03,833.32,Tea,Chalky,UPASI-9
34.87,26.44,79.44,26.84,43.76,6.34,657.24,Groundnut,Sandy,GG-20
92.63,33.21,117.87,24.43,59.05,6.38,1849.92,Cotton,Clay,Bt-1
39.51,27.88,40.24,28.73,42.98,5.99,476.31,Maize,Sandy,HQPM-1
70.96,55.28,124.34,24.73,74.92,6.91,1752.55,Cotton,Clay,Bt-1
73.01,53.74,93.58,19.9,70.21,7.71,1460.74,Vegetables,Silty,Hybrid-B
83.95,56.18,116.36,29.19,78.23,6.39,1595.54,Cotton,Clay,Bt-1
104.01,39.18,61.38,22.26,75.07,6.49,1929.98,Tomato,Peaty,Roma
133.86,38.55,84.86,19.64,92.53,5.22,1541.09,Vegetables,Peaty,Local-1
138.35,44.24,64.43,18.66,78.18,5.25,1228.98,Potato,Peaty,Kufri Bahar
96.62,47.63,101.84,22.45,61.96,7.3,1043.74,Tomato,Loamy,Arka Vikas
98.63,38.39,73.56,23.33,64.64,6.71,1705.98,Rice,Silty,IR64
44.47,26.22,38.58,31.78,49.03,5.67,789.29,Potato,Sandy,Kufri Bahar
105.05,41.71,83.57,27.49,81.2,6.97,1626.74,Rice,Clay,Basmati-370
56.99,33.83,68.28,25.83,47.08,8.47,518.02,Maize,Chalky,DHM-117
44.16,68.97,102.06,23.88,39.63,8.09,1034.9,Wheat,Chalky,HD-2967
56.95,50.47,98.55,29.31,46.4,7.86,572.9,Cotton,Chalky,Suraj
127.76,41.07,63.37,18.52,82.71,4.9,1295.55,Tea,Peaty,TV-1
65.27,41.12,72.71,28.33,65.73,6.86,1130.32,Cotton,Loamy,Suraj
78.97,65.0,74.57,18.85,76.17,5.52,1374.77,Sugarcane,Peaty,Co-0238
31.47,46.81,100.09,27.15,41.18,7.96,1130.95,Rice,Chalky,IR64
71.9,63.87,49.77,22.45,76.58,7.17,830.07,Cotton,Silty,Suraj
115.44,68.84,127.4,23.36,69.67,7.11,1707.73,Rice,Clay,Swarna
81.46,45.19,73.86,26.14,70.36,6.6,1656.21,Wheat,Silty,HD-2967
57.15,66.74,85.71,27.97,57.3,8.4,887.03,Sugarcane,Chalky,Co-0118
111.56,29.76,84.7,19.8,78.61,5.72,1559.32,Vegetables,Peaty,Hybrid-A
66.77,26.85,92.22,21.4,56.77,6.54,1250.48,Maize,Loamy,Pioneer-3396
45.24,39.83,30.91,32.83,44.23,6.16,451.08,Groundnut,Sandy,GG-20
43.72,16.32,52.19,32.77,45.44,6.76,769.86,Groundnut,Sandy,GG-20
79.78,65.91,115.27,24.97,79.35,6.62,1564.54,Wheat,Clay,Lok-1
114.69,28.95,77.28,23.96,87.93,5.48,2024.74,Tea,Peaty,UPASI-9
35.63,39.66,117.43,29.11,58.23,7.72,727.07,Millet,Chalky,ICTP-8203
53.45,18.8,56.91,35.89,48.59,6.14,592.11,Watermelon,Sandy,Arka Manik
24.69,62.51,74.59,30.14,27.35,7.83,974.59,Cotton,Chalky,Bt-1
62.18,32.03,46.84,26.81,53.82,6.33,1082.68,Potato,Sandy,Kufri Bahar
115.48,58.01,108.27,22.48,68.57,7.03,1802.72,Sugarcane,Clay,Co-0238
115.98,52.7,112.29,23.35,60.78,6.96,1376.63,Sugarcane,Clay,Co-86032
102.26,50.43,69.78,19.17,74.73,6.48,1630.64,Wheat,Silty,PBW-343
67.14,50.4,75.22,27.15,64.36,6.67,723.4,Potato,Loamy,Kufri Pukhraj
101.43,66.45,133.28,21.68,63.92,7.23,1367.06,Sugarcane,Clay,Co-0238
33.59,31.91,40.36,25.89,46.84,6.4,683.72,Millet,Sandy,RHB-173
65.33,73.53,78.91,26.72,72.75,6.62,1447.64,Rice,Clay,Basmati-370
116.79,36.64,122.9,18.0,82.18,7.37,1387.14,Sugarcane,Clay,Co-0118
48.84,16.8,45.92,31.25,45.66,5.33,582.32,Millet,Sandy,ICTP-8203
108.55,27.26,110.0,20.32,74.97,4.49,1647.72,Vegetables,Peaty,Hybrid-B
78.16,61.44,114.99,22.59,61.56,7.94,1690.01,Rice,Clay,IR64
37.37,50.79,93.87,26.77,42.39,7.85,817.34,Millet,Chalky,RHB-173
94.8,28.18,54.93,21.59,78.37,5.3,1683.01,Vegetables,Peaty,Hybrid-A
53.1,26.94,62.43,26.48,30.81,6.48,510.61,Potato,Sandy,Kufri Jyoti
115.22,82.57,115.01,27.1,68.42,7.66,1193.0,Sugarcane,Clay,Co-86032
79.46,55.37,102.45,24.91,77.52,6.36,1237.88,Rice,Clay,Swarna
136.6,41.16,84.71,20.34,70.74,5.0,2317.53,Wheat,Peaty,Lok-1
76.02,44.89,80.34,22.92,65.31,6.41,846.12,Soybean,Loamy,JS-335
58.64,37.1,72.45,24.94,66.02,7.09,1617.56,Wheat,Loamy,PBW-343
35.12,60.93,95.73,24.42,46.08,8.03,636.84,Barley,Chalky,RD-2552
59.3,59.16,89.35,26.72,54.42,8.04,620.97,Sugarcane,Chalky,Co-86032
91.64,43.3,88.83,29.19,67.83,6.73,1124.53,Tomato,Loamy,Pusa Ruby
90.15,67.08,94.02,25.25,79.88,6.68,1325.72,Wheat,Clay,PBW-343
120.99,58.99,130.37,24.23,76.18,6.97,1873.34,Wheat,Clay,Lok-1
82.8,63.7,90.54,26.99,75.21,6.53,1023.83,Maize,Loamy,HQPM-1
114.46,33.22,68.27,24.87,76.19,5.3,1411.68,Vegetables,Peaty,Hybrid-B
85.11,45.46,72.98,20.03,55.75,7.12,866.16,Wheat,Loamy,HD-2967
106.93,38.71,61.65,22.76,86.31,5.56,922.37,Tea,Peaty,TV-23
103.45,68.29,102.36,27.78,66.73,6.48,1346.54,Sugarcane,Clay,Co-86032
67.37,23.0,51.58,31.31,44.82,6.09,421.76,Potato,Sandy,Kufri Pukhraj
59.45,14.12,33.56,27.4,32.75,6.32,739.31,Millet,Sandy,HHB-67
45.16,53.21,74.24,26.75,55.89,7.97,1052.11,Barley,Chalky,DWRB-73
57.19,51.67,88.01,25.17,66.58,6.51,1624.33,Vegetables,Silty,Hybrid-B
89.49,41.36,152.24,29.83,74.37,6.73,1976.88,Wheat,Clay,Lok-1
67.46,40.42,86.22,30.45,55.63,7.11,1493.57,Maize,Loamy,DHM-117
46.57,45.81,81.41,30.55,48.72,7.92,637.08,Wheat,Chalky,HD-2967
87.59,56.55,116.6,24.51,72.51,6.7,1435.35,Cotton,Loamy,Bt-2
136.03,33.1,69.16,23.34,74.23,5.8,2230.1,Tea,Peaty,TV-23
39.06,31.54,51.7,31.5,41.51,5.79,958.62,Potato,Sandy,Kufri Bahar
117.81,27.51,66.67,19.55,86.81,4.91,1894.48,Rice,Peaty,IR64
110.46,47.6,65.03,18.56,79.12,5.25,1824.71,Tea,Peaty,UPASI-9
86.71,55.28,127.73,25.72,85.7,7.13,1384.1,Cotton,Clay,Bt-1
22.54,73.88,90.81,28.52,44.5,7.82,758.06,Wheat,Chalky,Lok-1
64.01,52.16,96.31,25.89,68.76,6.47,993.14,Rice,Silty,IR64
107.11,60.44,109.23,22.75,73.18,5.91,1284.1,Maize,Silty,DHM-117
91.37,45.32,103.21,30.94,57.61,7.04,1335.03,Sugarcane,Loamy,Co-86032
69.19,39.95,90.49,20.24,68.86,6.81,954.21,Soybean,Loamy,MAUS-71
63.35,57.48,77.11,29.42,72.2,6.92,1005.94,Rice,Silty,Swarna
138.19,38.55,45.24,15.87,87.88,5.47,1428.62,Vegetables,Peaty,Local-1
73.5,46.89,62.99,25.27,66.32,6.76,1213.82,Maize,Silty,HQPM-1
75.61,54.29,86.97,29.04,57.11,7.08,1178.0,Cotton,Loamy,Bt-1
93.7,49.2,91.94,21.93,68.05,7.18,1647.71,Maize,Silty,DHM-117
81.31,36.52,106.86,21.66,67.46,6.63,980.08,Rice,Silty,Basmati-370
49.0,18.17,44.9,27.31,46.74,6.34,750.63,Millet,Sandy,RHB-173
38.6,25.65,62.25,29.93,53.75,6.86,871.02,Wheat,Sandy,PBW-343
64.2,28.58,51.02,30.88,55.05,6.39,607.83,Millet,Sandy,HHB-67
83.63,48.25,114.62,28.18,70.86,6.6,841.81,Rice,Clay,Basmati-370
88.84,44.08,116.49,21.99,61.58,7.57,1166.76,Wheat,Loamy,Lok-1
94.97,41.33,84.99,28.48,65.06,7.31,887.53,Vegetables,Silty,Local-1
98.03,42.93,108.79,23.16,65.21,6.62,1267.66,Cotton,Clay,Bt-2
78.67,59.61,65.31,12.63,81.66,4.44,2165.45,Rice,Peaty,Swarna
70.85,70.0,52.17,26.94,62.97,6.73,1325.29,Tomato,Loamy,Arka Vikas
88.8,34.88,111.23,27.29,69.58,7.39,1818.14,Sugarcane,Clay,Co-0238
64.74,52.24,99.55,26.36,72.72,6.65,863.85,Wheat,Silty,PBW-343
41.23,21.32,57.52,35.22,52.18,6.16,840.75,Groundnut,Sandy,JL-24
78.94,62.76,98.89,25.41,57.88,7.31,1247.77,Cotton,Loamy,Bt-2
109.98,48.92,100.45,23.64,70.48,7.03,975.64,Tea,Clay,UPASI-9
70.87,50.86,91.62,21.75,63.67,7.26,763.35,Tomato,Loamy,Arka Vikas
37.68,31.1,44.63,27.14,51.97,6.7,793.03,Watermelon,Sandy,Sugar Baby
55.0,64.68,112.95,22.77,84.83,6.37,1301.29,Potato,Clay,Kufri Jyoti
21.81,31.85,54.37,31.74,35.1,6.17,496.58,Groundnut,Sandy,GG-20
102.64,44.06,74.98,21.25,84.55,5.7,1380.89,Tea,Peaty,TV-1
145.11,51.73,65.2,16.97,84.86,4.91,1395.83,Vegetables,Peaty,Local-1
47.05,27.38,45.97,30.74,51.99,6.8,905.85,Watermelon,Sandy,Sugar Baby
94.46,45.98,68.7,27.99,66.93,7.02,1907.71,Wheat,Silty,PBW-343
67.17,18.53,61.63,32.97,49.0,5.87,500.93,Groundnut,Sandy,GG-20
123.31,36.66,55.75,17.66,78.5,5.78,1405.97,Potato,Peaty,Kufri Jyoti
113.53,49.0,126.58,22.91,63.88,6.78,1386.96,Wheat,Clay,HD-2967
79.98,48.84,80.77,23.08,59.58,6.87,1333.05,Tomato,Loamy,Roma
52.72,50.7,65.04,25.26,82.39,6.3,788.5,Rice,Silty,Basmati-370
92.45,27.83,113.76,26.81,78.63,6.9,1834.86,Maize,Silty,DHM-117
88.92,65.06,104.66,27.56,75.76,6.7,1668.18,Wheat,Clay,PBW-343
84.31,50.02,89.18,24.01,57.03,7.0,761.14,Cotton,Loamy,Suraj
95.74,50.16,96.33,31.05,63.63,6.48,1006.44,Rice,Loamy,IR64
83.2,70.84,141.35,20.9,62.28,7.12,1322.88,Wheat,Clay,HD-2967
50.29,37.54,58.25,20.55,48.32,7.52,767.96,Barley,Chalky,RD-2552
86.37,45.71,87.99,22.06,61.45,6.58,1150.04,Soybean,Loamy,NRC-37
120.33,48.16,83.4,22.42,84.34,6.79,1871.09,Sugarcane,Clay,Co-0118
103.98,51.59,57.5,22.8,64.57,6.54,1127.24,Wheat,Loamy,Lok-1
58.98,33.83,60.84,24.5,53.59,6.11,791.99,Millet,Sandy,ICTP-8203
111.39,46.64,148.0,31.38,69.94,6.83,1717.35,Rice,Clay,IR64
92.35,49.4,69.79,17.32,75.85,5.47,1352.9,Rice,Peaty,Swarna
50.25,35.84,73.44,30.41,47.77,7.95,493.85,Rice,Chalky,IR64
45.94,32.16,44.16,28.56,47.35,5.65,711.14,Watermelon,Sandy,Sugar Baby
61.02,42.43,91.94,29.05,74.14,7.49,1097.92,Tomato,Loamy,Pusa Ruby
68.26,42.05,101.27,25.04,62.32,6.33,1674.46,Sugarcane,Clay,Co-86032
60.43,49.95,73.35,27.35,57.08,6.69,1074.27,Soybean,Loamy,NRC-37
125.81,44.98,117.42,26.95,63.71,6.39,1318.02,Maize,Clay,DHM-117
29.54,37.11,50.81,32.3,39.22,6.23,533.3,Millet,Sandy,RHB-173
79.63,49.05,119.92,24.06,67.63,7.21,1353.88,Sugarcane,Clay,Co-0118
55.52,23.12,46.84,29.24,54.88,5.5,459.94,Groundnut,Sandy,JL-24
90.86,55.27,63.01,27.07,81.49,7.29,1031.91,Vegetables,Silty,Local-1
68.04,51.75,79.65,30.9,67.26,7.03,944.32,Maize,Silty,Pioneer-3396
50.94,51.64,106.54,22.48,67.27,6.9,1511.02,Vegetables,Silty,Hybrid-A
76.97,48.11,73.94,22.44,62.68,6.68,1141.91,Soybean,Loamy,NRC-37
74.86,36.31,102.31,25.23,59.77,7.29,930.63,Soybean,Loamy,JS-335
46.51,61.03,103.8,25.27,50.01,8.44,745.36,Cotton,Chalky,Suraj
83.8,50.72,105.56,24.62,76.04,7.66,1279.66,Vegetables,Clay,Hybrid-A
90.92,70.55,118.75,25.07,72.95,7.11,1511.71,Rice,Clay,IR64
26.52,63.17,80.68,27.78,49.54,8.3,745.2,Cotton,Chalky,Bt-2
58.05,29.87,81.0,29.81,45.33,8.33,625.75,Wheat,Chalky,PBW-343
83.73,52.06,130.13,25.8,63.25,6.44,1609.75,Wheat,Silty,Lok-1
131.42,35.86,52.29,13.29,75.61,4.72,1264.13,Tea,Peaty,TV-1
66.34,37.86,90.07,24.7,78.59,6.95,1572.82,Tomato,Silty,Roma
49.3,24.39,60.8,32.87,48.72,6.19,330.47,Millet,Sandy,RHB-173
65.46,57.08,96.86,29.79,26.49,7.53,770.61,Wheat,Chalky,Lok-1
86.46,66.0,76.63,22.56,64.96,6.94,1278.06,Wheat,Loamy,Lok-1
122.67,47.65,71.71,21.56,83.49,4.66,1509.28,Vegetables,Peaty,Hybrid-A
46.22,46.23,83.89,21.59,79.52,6.71,1328.09,Vegetables,Silty,Hybrid-A
118.95,51.07,74.49,19.16,77.4,5.32,1594.8,Cotton,Peaty,Bt-2
113.61,20.57,77.8,27.56,77.61,4.56,2011.44,Rice,Peaty,Swarna
92.85,48.61,72.63,21.58,78.74,5.27,1735.89,Tea,Peaty,UPASI-9
59.65,61.35,95.23,26.61,38.51,7.49,787.48,Cotton,Chalky,Bt-2
71.24,55.64,82.58,26.4,48.63,6.72,946.25,Maize,Loamy,HQPM-1
71.11,41.21,106.55,18.0,64.59,7.01,1026.98,Millet,Loamy,ICTP-8203
64.16,30.79,54.63,28.28,45.24,6.19,546.52,Rice,Sandy,IR64
95.2,39.94,92.87,32.49,64.73,5.94,874.64,Cotton,Loamy,Suraj
106.03,54.76,79.8,12.18,79.39,6.13,1698.77,Tea,Peaty,TV-1
70.83,49.88,83.08,21.65,66.44,7.29,1158.77,Maize,Loamy,DHM-117
84.4,65.79,96.74,26.66,74.41,6.68,1152.28,Sugarcane,Clay,Co-86032
50.67,43.41,95.47,22.12,34.24,8.22,648.07,Wheat,Chalky,Lok-1
87.62,45.2,73.8,21.38,84.04,5.32,2196.61,Potato,Peaty,Kufri Bahar
51.77,64.77,53.77,25.09,25.14,7.98,603.7,Millet,Chalky,RHB-173
36.8,54.96,113.6,27.36,56.79,7.76,834.59,Wheat,Chalky,HD-2967
79.11,51.92,111.76,27.66,51.58,7.1,1595.6,Wheat,Silty,Lok-1
52.74,63.01,98.91,23.46,56.86,7.8,562.64,Cotton,Chalky,Bt-1
41.31,21.53,25.06,32.69,40.71,6.68,738.6,Watermelon,Sandy,Crimson Sweet
35.55,13.38,20.0,29.59,62.85,7.06,515.1,Potato,Sandy,Kufri Jyoti
34.12,34.6,74.76,30.99,40.43,6.23,606.28,Potato,Sandy,Kufri Bahar
68.82,42.01,127.16,25.04,67.51,6.95,1282.18,Tea,Loamy,TV-23
90.41,42.37,104.27,30.67,64.64,6.58,1289.71,Wheat,Clay,PBW-343
98.26,55.62,62.82,28.63,65.85,6.81,1595.2,Cotton,Loamy,Bt-2
109.71,26.8,106.45,21.47,70.57,6.01,1458.24,Rice,Clay,Basmati-370
78.97,37.38,98.19,22.85,60.22,6.67,884.94,Soybean,Loamy,JS-335
105.54,65.84,126.34,26.66,76.51,7.09,1711.82,Rice,Clay,Swarna
75.06,50.43,93.26,31.31,76.33,6.75,1043.15,Cotton,Loamy,Bt-1
32.24,27.11,53.55,27.87,51.39,5.73,608.48,Groundnut,Sandy,JL-24
92.94,37.96,99.59,25.89,75.29,6.97,1127.54,Wheat,Loamy,PBW-343
65.97,52.94,131.38,29.07,49.57,8.14,621.22,Cotton,Chalky,Suraj
47.6,46.32,85.68,23.66,57.43,6.62,1280.89,Wheat,Silty,Lok-1
82.5,79.5,135.05,21.97,83.53,7.1,1406.55,Wheat,Clay,HD-2967
87.99,35.64,96.32,24.25,57.25,6.58,900.04,Wheat,Loamy,Lok-1
94.69,44.97,96.19,25.69,69.75,6.97,1495.11,Tomato,Loamy,Pusa Ruby
99.22,66.1,88.56,25.38,75.45,6.5,1838.92,Rice,Silty,IR64
37.13,77.55,97.09,29.53,47.58,7.61,625.61,Millet,Chalky,ICTP-8203
101.76,15.0,66.43,19.75,86.14,5.03,1546.96,Vegetables,Peaty,Local-1
70.48,29.37,28.6,33.58,43.43,7.15,915.44,Vegetables,Sandy,Local-1
34.74,46.33,64.2,26.46,34.58,8.07,454.87,Cotton,Chalky,Bt-2
103.81,45.52,117.37,22.58,58.88,7.06,1196.15,Rice,Silty,Basmati-370
47.26,28.88,43.85,29.44,54.11,6.0,506.65,Groundnut,Sandy,JL-24
93.87,46.95,72.75,28.75,70.96,7.25,1556.02,Sugarcane,Loamy,Co-0238
74.09,40.21,70.89,27.35,59.65,6.47,1023.04,Tomato,Loamy,Arka Vikas
77.09,41.51,109.88,26.76,60.91,6.96,1344.46,Sugarcane,Loamy,Co-0118
96.78,40.57,150.49,27.98,74.16,6.29,1370.52,Cotton,Clay,Suraj
113.39,56.25,99.81,24.32,75.27,6.94,933.02,Wheat,Clay,Lok-1
139.12,55.03,46.77,16.35,71.64,5.68,1658.09,Vegetables,Peaty,Hybrid-A
145.05,47.62,69.04,20.6,84.8,5.0,1751.59,Rice,Peaty,Swarna
61.32,45.76,105.01,21.35,65.62,6.82,1308.97,Wheat,Clay,HD-2967
37.24,37.64,40.28,33.32,41.64,6.29,766.84,Potato,Sandy,Kufri Bahar
77.57,64.31,101.86,31.88,77.19,5.93,1181.31,Potato,Clay,Kufri Pukhraj
47.65,66.73,89.76,24.95,43.55,8.07,868.28,Wheat,Chalky,PBW-343
39.18,74.85,91.62,25.87,47.82,7.77,518.63,Barley,Chalky,DWRB-73
104.73,39.98,102.15,27.94,70.83,7.54,1276.86,Soybean,Loamy,MAUS-71
121.65,51.5,68.29,15.27,92.28,5.54,1555.87,Rice,Peaty,IR64
122.21,41.98,64.84,25.8,74.01,5.32,1719.52,Tea,Peaty,UPASI-9
116.17,43.75,74.64,25.53,75.91,6.02,878.05,Sugarcane,Clay,Co-86032
26.26,24.99,57.14,35.37,49.37,6.78,477.36,Millet,Sandy,HHB-67
64.27,54.42,98.15,24.97,42.58,8.03,919.05,Cotton,Chalky,Bt-1
51.23,62.36,96.7,23.93,36.65,8.0,900.3,Barley,Chalky,DWRB-73
124.98,46.4,61.25,20.86,77.39,5.08,1374.47,Vegetables,Peaty,Hybrid-B
69.41,40.14,108.68,24.89,69.21,5.9,1548.4,Vegetables,Silty,Hybrid-A
130.59,37.45,89.71,19.47,79.4,5.59,2153.41,Vegetables,Peaty,Local-1
67.42,28.16,38.82,27.45,56.44,7.07,840.01,Potato,Sandy,Kufri Pukhraj
91.46,31.59,73.46,25.69,59.73,7.14,1213.95,Tomato,Loamy,Arka Vikas
120.0,43.95,109.14,20.86,50.97,6.49,1389.79,Tomato,Loamy,Roma
62.69,31.06,69.54,24.21,42.55,5.93,694.49,Millet,Sandy,HHB-67
74.05,54.58,84.47,18.62,66.52,6.88,1424.7,Wheat,Silty,HD-2967
47.18,38.86,20.0,27.06,45.04,5.84,632.77,Millet,Sandy,HHB-67
107.79,71.06,120.93,23.35,74.56,6.08,1169.14,Sugarcane,Clay,Co-0238
77.14,44.3,87.09,21.45,71.96,7.05,1027.53,Cotton,Loamy,Bt-1
45.84,36.49,73.71,26.85,41.27,5.86,473.95,Watermelon,Sandy,Crimson Sweet
51.01,32.55,63.4,27.86,32.56,6.07,820.34,Groundnut,Sandy,GG-20
96.52,44.34,70.19,21.08,79.3,4.23,1804.66,Potato,Peaty,Kufri Jyoti
88.02,50.1,122.38,27.39,71.67,6.27,1260.21,Rice,Clay,Basmati-370
85.59,46.72,102.45,20.88,73.42,6.59,1005.22,Sugarcane,Clay,Co-0118
101.96,31.92,104.13,21.41,84.17,4.6,1417.17,Tea,Peaty,TV-23
71.63,40.99,92.92,20.46,64.15,6.97,1276.59,Maize,Silty,HQPM-1
38.38,30.72,33.3,31.2,45.79,6.24,934.62,Groundnut,Sandy,JL-24
95.35,58.29,96.51,23.29,71.51,7.32,1514.95,Maize,Clay,DHM-117
